department,strategic_pillar,production,metric,question_id,question_text,response_type,options,required,display_order,kpi_type,ai_weight,depends_on,strategic_objectives_id
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q1a,"If yes, what were the key findings and recommendations?",text,,FALSE,300,governance,1.1,CORP_WC_Q1,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q1b,"If not, why not?",text,,FALSE,310,risk,1.2,CORP_WC_Q1=No,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q2,Were student satisfaction surveys completed for this period?,yes_no,"Yes,No",FALSE,320,risk,1.1,,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q2a,"If yes, what were the key findings and recommendations?",text,,FALSE,330,oversight,1.2,CORP_WC_Q2,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q2b,"If not, why not?",text,,FALSE,340,oversight,1.1,CORP_WC_Q2=No,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q3,Were parent satisfaction surveys completed for this period?,yes_no,"Yes,No",FALSE,350,governance,1.2,,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q3a,"If yes, what were the key findings and recommendations?",text,,FALSE,360,governance,1.1,CORP_WC_Q3,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q3b,"If not, why not?",text,,FALSE,370,risk,1.2,CORP_WC_Q3=No,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q4,Did all employees complete Respect in the Workplace training this period?,yes_no,"Yes,No",FALSE,380,governance,1.2,,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q4a,"If not, why not?",text,,FALSE,390,governance,1.1,CORP_WC_Q4=No,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q5,Was there employee turnover during this last period (from last period)?,yes_no,"Yes,No",FALSE,400,risk,1.2,,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q5a,What was the employee turnover rate this period (from last period)?,text,,FALSE,410,risk,1.2,CORP_WC_Q5,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q5b,Number of resignations? Which departments?,text,,FALSE,420,risk,1.1,CORP_WC_Q5,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q5c,Number of terminations? Which departments?,text,,FALSE,430,oversight,1.2,CORP_WC_Q5,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q5d,Were any of these employees key personnel?,yes_no,"Yes,No",FALSE,440,oversight,1.2,CORP_WC_Q5,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q5e,"If yes, in which department and which position?",text,,FALSE,450,oversight,1.2,CORP_WC_Q5d,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q6,"Were there employee grievances or complaints (formal, reported) during this period?",yes_no,"Yes,No",FALSE,460,oversight,1.1,,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q6a,How many and which department?,text,,FALSE,470,governance,1.2,CORP_WC_Q6,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q7,Were there employee incident reports during this period?,yes_no,"Yes,No",FALSE,480,governance,1.1,,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,workplace_culture,CORP_WC_Q7b,How many and what was the incident (don't share confidential information)?,text,,FALSE,490,risk,1.2,CORP_WC_Q7,CORP11
Corporate,Governance & Board Oversight,Governance & Board Oversight,board_management,CORP_BM_Q1,Was a structured board recruitment process developed and/or implemented for this period?,yes_no,"Yes,No",FALSE,500,oversight,1.2,,CORP10
Corporate,Governance & Board Oversight,Governance & Board Oversight,board_management,CORP_BM_Q1a,"If not, why not?",text,,FALSE,510,oversight,1.2,CORP_BM_Q1=No,CORP10
Corporate,Governance & Board Oversight,Governance & Board Oversight,board_management,CORP_BM_Q2,Is the board recruitment process aligned to the strategic plan and needs of Alberta Ballet?,yes_no,"Yes,No",FALSE,520,oversight,1.2,,CORP10
Corporate,Governance & Board Oversight,Governance & Board Oversight,board_management,CORP_BM_Q3,Was a board onboarding process developed and/or implemented in this period?,yes_no,"Yes,No",FALSE,530,oversight,1.1,,CORP10
Corporate,Governance & Board Oversight,Governance & Board Oversight,board_management,CORP_BM_Q3a,"If not, why not?",text,,FALSE,540,governance,1.2,CORP_BM_Q2=No,CORP10
Corporate,Governance & Board Oversight,Governance & Board Oversight,board_management,CORP_BM_Q4,Were any board strategy alignment workshops implemented during this period?,yes_no,"Yes,No",FALSE,550,governance,1.1,,CORP10
Corporate,Governance & Board Oversight,Governance & Board Oversight,board_management,CORP_BM_Q4a,"If not, why not?",text,,FALSE,560,risk,1.2,CORP_BM_Q4=No,CORP10
Corporate,Governance & Board Oversight,Governance & Board Oversight,board_management,CORP_BM_Q5,Was a board effectiveness self-assessment implmented this period?,yes_no,"Yes,No",FALSE,570,oversight,1.1,,CORP10
Corporate,Governance & Board Oversight,Governance & Board Oversight,board_management,CORP_BM_Q5a,"If not, why not?",text,,FALSE,580,governance,1.2,CORP_BM_Q5=No,CORP10
Corporate,Governance & Board Oversight,Governance & Board Oversight,board_management,CORP_BM_Q6,Did the Governance Committee enact workplace culture monitoring this period?,yes_no,"Yes,No",FALSE,590,governance,1.1,,CORP10
Corporate,Governance & Board Oversight,Governance & Board Oversight,board_management,CORP_BM_Q6a,"If not, why not?",heading,,FALSE,600,risk,1.2,CORP_BM_Q6=No,CORP10
Corporate,Grants & Fundraising,Financial,Donations,CORP_FIN_Q1,Donations,number,,FALSE,610,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Donations,CORP_FIN_Q2,"The Board Fundraising Budget this year was $102,000; how much did we actually secure YTD?",number,,FALSE,620,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Donations,CORP_FIN_Q3,Explain the variance for Board Fundraising Revenue between Budget and Actuals so far this year.,text,,FALSE,630,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Donations,CORP_FIN_Q4,"The General Donations Budget this year was $550,000; how much did we actually secure YTD?",number,,FALSE,640,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Donations,CORP_FIN_Q5,Explain the variance for General Donations Revenue between Budget and Actuals so far this year.,text,,FALSE,650,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Donations,CORP_FIN_Q6,The Endowment Budget this year was $1.5M; how much did we actually secure YTD?,number,,FALSE,660,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Donations,CORP_FIN_Q7,Explain the variance for Endowment Revenue between Budget and Actuals so far this year.,text,,FALSE,670,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Grants,CORP_FIN_Q8,Grants,heading,,FALSE,680,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Grants,CORP_FIN_Q9,"The AFA Budget this year was $1,407,898; how much did we actually secure YTD?",number,,FALSE,690,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Grants,CORP_FIN_Q10,Explain the variance for AFA Revenue between Budget and Actuals so far this year.,text,,FALSE,700,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Grants,CORP_FIN_Q11,"The CADA Budget this year was $431,426; how much did we actually secure YTD?",number,,FALSE,710,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Grants,CORP_FIN_Q12,Explain the variance for CADA Revenue between Budget and Actuals so far this year.,text,,FALSE,720,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Grants,CORP_FIN_Q13,"The EAC Budget this year was $248,100; how much did we actually secure YTD?",number,,FALSE,730,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Grants,CORP_FIN_Q14,Explain the variance for EAC Revenue between Budget and Actuals so far this year.,text,,FALSE,740,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Grants,CORP_FIN_Q15,"The Project Grants - Federal Budget this year was $141,830; how much did we actually secure YTD?",number,,FALSE,750,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Grants,CORP_FIN_Q16,Explain the variance for Project Grants - Federal Revenue between Budget and Actuals so far this year.,text,,FALSE,760,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Grants,CORP_FIN_Q17,"Although there was no Project Grants - Provincial Budget this year, did we manage to secure any funds YTD?",number,,FALSE,770,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Grants,CORP_FIN_Q18,Explain the variance for  Project Grants - Provincial Revenue between Budget and Actuals so far this year.,text,,FALSE,780,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Grants,CORP_FIN_Q19,"Although there was no Project Grants - Municipal Calgary Budget this year, did we manage to secure any funds YTD?",number,,FALSE,790,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Grants,CORP_FIN_Q20,Explain the variance for  Project Grants - Municipal Calgary Revenue between Budget and Actuals so far this year.,text,,FALSE,800,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Grants,CORP_FIN_Q21,"Although there was no Project Grants - Municipal Edmonton Budget this year, did we manage to secure any funds YTD?",number,,FALSE,810,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Grants,CORP_FIN_Q22,Explain the variance for  Project Grants - Municipal Edmonton Revenue between Budget and Actuals so far this year.,text,,FALSE,820,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Sponsorships,CORP_FIN_Q23,Gift-in-Kind Sponsorships,heading,,FALSE,830,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Sponsorships,CORP_FIN_Q24,"The GIfts-in-Kind Budget for legal services this year was $53,360; how much did we actually secure YTD?",number,,FALSE,840,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Sponsorships,CORP_FIN_Q25,Explain the variance for GIK Legal Revenue between Budget and Actuals so far this year.,text,,FALSE,850,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Sponsorships,CORP_FIN_Q26,"The Gifts-in-Kind Budget this year was $100,000; how much did we actually secure YTD?",number,,FALSE,860,financial,3,,CORP12
Corporate,Grants & Fundraising,Financial,Sponsorships,CORP_FIN_Q27,Explain the variance for Gift-in-King Fundraising Revenue between Budget and Actuals so far this year.,text,,FALSE,870,financial,3,,CORP12
