section,department,strategic_pillar,production,metric,question_id,question_text,response_type,options,required,display_order,kpi_type,ai_weight,depends_on,strategic_objectives_id
Financials & Marketing,Marketing,Subscriptions,26-27 subscriptions,Subscriptions Sales,FM44,"What is the explanation for Calgary variances (subscription revenue, number of accounts, seats per account, average ticket price)?",text,,FALSE,278,Financial Performance,3,FM18,ART1
Financials & Marketing,Marketing,Subscriptions,26-27 subscriptions,Subscription Sales,FM45,Does Subscription Revenue in Edmonton apply to this reporting period?,select_yes_no,"Yes,No",FALSE,280,Financial Performance,3,,ART1
Financials & Marketing,Marketing,Subscriptions,26-27 subscriptions,Subscription Sales,FM46,What was the total subscription revenue for Edmonton?,number,,FALSE,281,Financial Performance,3,FM27,ART1
Financials & Marketing,Marketing,Subscriptions,26-27 subscriptions,Subscriptions Sales,FM47,What was the subscription variance ($) versus budget in Edmonton?,number,,FALSE,282,Financial Performance,3,FM27,ART1
Financials & Marketing,Marketing,Subscriptions,26-27 subscriptions,Subscriptions Sales,FM48,What was the subscription variance (%) versus budget in Edmonton?,number,,FALSE,283,Financial Performance,3,FM27,ART1
Financials & Marketing,Marketing,Subscriptions,26-27 subscriptions,Subscriptions Sales,FM49,What was the total subscriber account numbers versus target (variance #) in Edmonton?,number,,FALSE,284,Financial Performance,3,FM27,ART1
Financials & Marketing,Marketing,Subscriptions,26-27 subscriptions,Subscriptions Sales,FM50,What was the total subscriber seat numbers versus target (variance #) in Edmonton?,number,,FALSE,285,Financial Performance,3,FM27,ART1
Financials & Marketing,Marketing,Subscriptions,26-27 subscriptions,Subscriptions Sales,FM51,What was the average subscriber ticket price realised for this production ($) in Edmonton?,number,,FALSE,286,Financial Performance,3,FM27,ART1
Financials & Marketing,Marketing,Subscriptions,26-27 subscriptions,Subscriptions Sales,FM52,What was the average subscriber ticket price variance for this production (%) in Edmonton?,number,,FALSE,287,Financial Performance,3,FM27,ART1
Financials & Marketing,Marketing,Subscriptions,26-27 subscriptions,Subscriptions Sales,FM53,"What is the explanation for Edmonton variances (subscription revenue, number of accounts, seats per account, average ticket price)?",text,,FALSE,288,Financial Performance,3,FM27,ART1
